screen_name,user_id,created_at,status_id,text,retweet_count,favorite_count,is_quote_status,quote_status_id,is_retweet,retweet_status_id,in_reply_to_status_status_id,in_reply_to_status_user_id,in_reply_to_status_screen_name,lang,source,media_id,media_url,media_url_expanded,urls_display,urls_expanded,mentions_screen_name,mentions_user_id,hashtags,place_id,place_type,place_name,place_full_name,country_code,country,bounding_box_coordinates,bounding_box_type
vivoenergykenya,2359077392,2017-05-03T14:17:02Z,859773802011652099,RT @Hapakenya: These Boda guys in Ntulele Narok seem to agree that Shell Advance is the lubricant to use for optimum efficiency #NikoMbeleN…,1,0,FALSE,NA,TRUE,859772308424073217,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,NA,Hapakenya,88152479,NA,NA,NA,NA,NA,NA,NA,NA,NA
vivoenergykenya,2359077392,2017-05-03T12:56:21Z,859753496417054725,"With Shell Advance, your motorcycle performs at its optimum.
#NikoMbeleNaShellAdvance https://t.co/b94zrhzsxJ",9,11,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for Android,859753438967726080,http://pbs.twimg.com/media/C-51MpQXgAAMqVu.jpg,https://twitter.com/vivoenergykenya/status/859753496417054725/photo/1,NA,NA,NA,NA,NikoMbeleNaShellAdvance,0161733a7370d447,city,Ntulelei,"Ntulelei, Kenya",KE,Kenya,36.0806884 36.0940694 36.0940694 36.0806884 -1.0996255 -1.0996255 -1.0913447 -1.0913447,Polygon
vivoenergykenya,2359077392,2017-05-03T12:12:57Z,859742572020998144,"Shell Advance Mascot seems to have reserve tanks of energy..Still having a ball in Ntulelei, Narok County.… https://t.co/YAKUzuYICt",8,6,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for Android,NA,NA,NA,twitter.com/i/web/status/8…,https://twitter.com/i/web/status/859742572020998144,NA,NA,NA,0161733a7370d447,city,Ntulelei,"Ntulelei, Kenya",KE,Kenya,36.0806884 36.0940694 36.0940694 36.0806884 -1.0996255 -1.0996255 -1.0913447 -1.0913447,Polygon
vivoenergykenya,2359077392,2017-05-03T12:12:15Z,859742398884323328,RT @Lintons_Beauty: We are proud to partner with @EveWomanKenya &amp; @SDEKenya to celebrate a mom because #SheDeservesIt - #MothersDay details…,29,0,FALSE,NA,TRUE,858207412427382784,NA,NA,NA,en,Twitter for Android,NA,NA,NA,NA,NA,Lintons_Beauty EveWomanKenya SDEKenya,2212464925 1962309451 1338624264,SheDeservesIt MothersDay,NA,NA,NA,NA,NA,NA,NA,NA
vivoenergykenya,2359077392,2017-05-03T11:27:56Z,859731245013626881,RT @Hapakenya: The #NikoMbeleNaShellAdvance team is in Mai Mahiu 2day educating Boda peeps on the importance of using Shell Advance  @vivoe…,5,0,FALSE,NA,TRUE,859731109852192769,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,NA,Hapakenya,88152479,NikoMbeleNaShellAdvance,NA,NA,NA,NA,NA,NA,NA,NA
vivoenergykenya,2359077392,2017-05-03T09:59:49Z,859709071259316224,"An insightful discussion between our Shell Advance team and bodaboda riders at Mahia Mahiu.
#NikoMbeleNaShellAdvance https://t.co/5UF2L7Sb6t",9,10,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for Android,859708907777912832,http://pbs.twimg.com/media/C-5MslpXcAAJ8iT.jpg,https://twitter.com/vivoenergykenya/status/859709071259316224/photo/1,NA,NA,NA,NA,NikoMbeleNaShellAdvance,01e215db7136a37e,city,Nairobi,"Nairobi, Kenya",KE,Kenya,36.6645733 37.0626672 37.0626672 36.6645733 -1.3890532 -1.3890532 -1.1606735 -1.1606735,Polygon
vivoenergykenya,2359077392,2017-05-03T09:11:41Z,859696954833604609,The Shell Advance Mascot enjoying the atmosphere in Mai Mahiu. #NikoMbeleNaShellAdvance https://t.co/ksD7vibVLH,4,8,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for Android,859696925662228480,http://pbs.twimg.com/media/C-5BzIyXsAA2AG4.jpg,https://twitter.com/vivoenergykenya/status/859696954833604609/photo/1,NA,NA,NA,NA,NikoMbeleNaShellAdvance,01e215db7136a37e,city,Nairobi,"Nairobi, Kenya",KE,Kenya,36.6645733 37.0626672 37.0626672 36.6645733 -1.3890532 -1.3890532 -1.1606735 -1.1606735,Polygon
vivoenergykenya,2359077392,2017-05-03T08:55:44Z,859692943745183744,"RT @MKRTTKe: Year 1 has been a success, your support is not something we take lightly and is very much appreciated. #Year2loading #TembeaKe…",2,0,FALSE,NA,TRUE,859690976251703297,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,NA,MKRTTKe,4349265377,Year2loading,NA,NA,NA,NA,NA,NA,NA,NA
vivoenergykenya,2359077392,2017-05-03T08:10:27Z,859681548567814144,We are proud to partner with @EveWomanKenya &amp; @SDEKenya to celebrate a Mum....#SheDeservesIt.  #MothersDay details… https://t.co/Rucbf7YbhI,8,11,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for Android,NA,NA,NA,twitter.com/i/web/status/8…,https://twitter.com/i/web/status/859681548567814144,EveWomanKenya SDEKenya,1962309451 1338624264,SheDeservesIt MothersDay,01e215db7136a37e,city,Nairobi,"Nairobi, Kenya",KE,Kenya,36.6645733 37.0626672 37.0626672 36.6645733 -1.3890532 -1.3890532 -1.1606735 -1.1606735,Polygon
vivoenergykenya,2359077392,2017-05-03T05:49:23Z,859646047915843589,@mboyaOl @AngelaMunyua @BernardNdong @adil_fahad @_ckariuki @H3Thomas @lynnwanjiruk @MSenteu @RachelGatome… https://t.co/DdopBRdFhw,0,1,FALSE,NA,FALSE,NA,859610515965923328,2164047307,mboyaOl,en,Twitter Web Client,NA,NA,NA,twitter.com/i/web/status/8…,https://twitter.com/i/web/status/859646047915843589,mboyaOl AngelaMunyua BernardNdong adil_fahad _ckariuki H3Thomas lynnwanjiruk MSenteu RachelGatome,2164047307 55548120 358658792 447900183 47924881 39229558 834332066074476546 346090576 3307198467,NA,17ad6a68301cd28b,country,Kenya,Kenya,KE,Kenya,33.9105011 41.8998666 41.8998666 33.9105011 -4.7672356 -4.7672356 4.631608 4.631608,Polygon
vivoenergykenya,2359077392,2017-05-03T05:43:03Z,859644452721364993,@FrankOyoo Hi Frank! Kindly DM us your contacts so that we can get in touch. Thanks,0,0,FALSE,NA,FALSE,NA,859446670853115904,1252050373,FrankOyoo,en,Twitter Web Client,NA,NA,NA,NA,NA,FrankOyoo,1252050373,NA,17ad6a68301cd28b,country,Kenya,Kenya,KE,Kenya,33.9105011 41.8998666 41.8998666 33.9105011 -4.7672356 -4.7672356 4.631608 4.631608,Polygon
